city,nursery_id,institution_name_std,source_latest_id,review_status,geo_status,district_master,district_geo,lng_gcj02,lat_gcj02,geocode_level,usable_flag,exclude_reason
苏州,nursery_e5a95314e844,张家港市闸上幼儿园,SZ_REG_MAP_2024_JSON_9F1DD629,READY_FOR_GEOCODE,READY_FOR_GEOCODE,,张家港市,120.478881,31.892027,门牌号,1,
苏州,nursery_e2f02dcb497c,张家港市后塍幼儿园,SZ_REG_MAP_2024_JSON_9F1DD629,READY_FOR_GEOCODE,READY_FOR_GEOCODE,,张家港市,120.457364,31.915121,门牌号,1,
苏州,nursery_bc291d401061,张家港市阳光绿城幼儿园有限公司,SZ_REG_MAP_2024_JSON_9F1DD629,READY_FOR_GEOCODE,READY_FOR_GEOCODE,,张家港市,120.429229,31.944410,门牌号,1,
苏州,nursery_ad13dc1e6cc0,张家港市金香幼儿园,SZ_REG_MAP_2024_JSON_9F1DD629,READY_FOR_GEOCODE,READY_FOR_GEOCODE,,张家港市,120.417255,31.950230,门牌号,1,
苏州,nursery_7d8007ec2331,张家港市苏阳托育中心有限公司,SZ_REG_MAP_2024_JSON_9F1DD629,READY_FOR_GEOCODE,READY_FOR_GEOCODE,,张家港市,120.419900,31.947960,门址,1,
苏州,nursery_70f75adc0ac7,张家港市金港中心幼儿园,SZ_REG_MAP_2024_JSON_9F1DD629,READY_FOR_GEOCODE,READY_FOR_GEOCODE,,张家港市,120.426592,31.949006,门牌号,1,
苏州,nursery_69bd79eb4f19,张家港市苏州外国语学校附属幼儿园有限公司,SZ_REG_MAP_2024_JSON_9F1DD629,READY_FOR_GEOCODE,READY_FOR_GEOCODE,,张家港市,120.436937,31.932663,门址,1,
苏州,nursery_3ce8a665e75e,张家港市新塍幼儿园,SZ_REG_MAP_2024_JSON_9F1DD629,READY_FOR_GEOCODE,READY_FOR_GEOCODE,,张家港市,120.449736,31.904105,门址,1,
苏州,nursery_224a996f7435,张家港市南沙幼儿园,SZ_REG_MAP_2024_JSON_9F1DD629,READY_FOR_GEOCODE,READY_FOR_GEOCODE,,张家港市,120.407473,31.923824,门牌号,1,
苏州,nursery_65e41798ade9,张家港市海港幼儿园,SZ_REG_MAP_2024_JSON_9F1DD629,READY_FOR_GEOCODE,READY_FOR_GEOCODE,,,,,NO_RESULT,0,GEOCODE_NO_RESULT
